age,monthly_income,employment_status,years_of_employment,credit_score,existing_loan_amount,loan_amount_requested,loan_tenure_months,purpose_of_loan,approved,decision
37.81235047255276,54125.00057560878,Salaried,7.906227712526578,723.2022465983084,17307.98546845486,297687.50316584826,60,Vehicle,1,Approved
25.511343161849176,26558.185385506673,Student,0.0,636.9617779791832,1993.241432018211,66395.46346376667,72,Education,0,Rejected
53.00018047741905,8665.15970505436,Unemployed,1.2443584354724357,580.0258472793646,1945.147682305363,21662.899262635903,60,Education,0,Rejected
21.496244903160807,3000.0,Unemployed,1.9493091410555556,551.2096010758127,934.0269630741149,7500.0,24,Personal,0,Rejected
44.99472052731081,70441.03168195317,Self-Employed,12.04725505664391,784.2401534582168,12962.328161952195,316984.6425687893,36,Home,1,Approved
18.0,23521.165104593983,Student,0.9493041858776017,545.0392831933583,2061.3790942907667,129366.40807526691,24,Home,0,Rejected
36.3641341835781,97227.16561725001,Salaried,15.586179169294295,782.3711162310498,14312.118443037863,243067.91404312503,24,Education,1,Approved
54.44075626794735,79962.13023119261,Salaried,11.144181005258396,784.7812021573094,24699.42117170435,279867.45580917416,60,Home,1,Approved
44.96026387249292,51294.21741499826,Salaried,5.7152950805746165,750.4093623113384,8336.224843292264,179529.7609524939,12,Home,0,Rejected
22.35916399745461,55779.82257892619,Salaried,0.0,673.073933248958,9452.74375461309,251009.20160516788,36,Business,1,Approved
28.265342071807094,12331.420982518754,Unemployed,0.7496426248864763,606.0692078764661,1629.521304467111,67822.81540385315,48,Vehicle,0,Rejected
43.92916796557824,66723.44652384747,Salaried,9.204174329529279,750.1017032034724,14979.203826891775,467064.12566693226,60,Personal,1,Approved
49.103422961009784,77593.84266208869,Self-Employed,8.865528862269905,812.5302149783113,11736.872249999338,193984.60665522172,72,Vehicle,1,Approved
29.422657996101808,10223.507336742865,Unemployed,0.40480869143720977,570.5809945255653,4786.478880269968,46005.783015342895,48,Vehicle,0,Rejected
45.736938526442266,78168.97324138106,Salaried,7.417055978546223,727.6411761972415,15671.279649409893,195422.43310345264,60,Business,1,Approved
30.339873113845446,58370.16779609053,Salaried,11.53272119313976,737.1094108382831,5233.919252329849,204295.58728631685,48,Business,1,Approved
33.08425728862548,90762.89964576709,Self-Employed,4.336354608462434,731.6283290781823,14679.684351051083,635340.2975203696,60,Education,1,Approved
34.698520608071505,16613.712969134394,Unemployed,0.0,542.8397119672068,2579.3537108955,58147.995391970384,36,Business,0,Rejected
49.989587005957375,79572.32815472347,Salaried,10.45313284921743,728.9849363065672,13068.371377947176,437647.80485097907,24,Home,0,Rejected
39.71638489486919,13971.935089207043,Unemployed,0.0,583.4528924329483,2351.296757804031,48901.77281222465,36,Personal,0,Rejected
31.136677311004057,17777.051307338745,Unemployed,1.3104922382094628,566.5601183110066,2790.901858464747,44442.62826834686,24,Other,0,Rejected
47.46518848533753,57384.37618002505,Salaried,0.0,706.0342441253649,17923.471995691794,258229.69281011273,48,Education,1,Approved
25.128959703835356,17433.792747097512,Unemployed,3.34177848065102,628.5645932427134,2401.125234106317,122036.54922968258,48,Home,0,Rejected
34.990857710432046,98437.52035289712,Salaried,4.718966048079823,731.3822516031689,29862.566834754965,246093.8008822428,36,Personal,1,Approved
34.13014431830138,46648.48921138639,Self-Employed,3.9287148792258475,633.374764804918,5079.710052551912,419836.40290247754,60,Vehicle,1,Approved
51.16434351226849,81298.36572699848,Salaried,10.967979024762037,700.6027986752082,4517.571062180117,284544.28004449466,60,Personal,1,Approved
44.06901469041198,10000.0,Self-Employed,0.6592593557352906,593.7695923783601,1909.8768303139614,55000.0,36,Vehicle,0,Rejected
38.02320914039602,76362.57012770514,Salaried,10.867247211540295,808.0236789768217,10344.122435146286,419994.1357023783,36,Business,1,Approved
42.391626658898176,24244.3842563888,Unemployed,2.5886071301604785,539.5627414078992,4788.224199586581,218199.45830749918,12,Vehicle,0,Rejected
36.130383192019735,61554.33466891591,Salaried,12.264519778149898,699.3087601083481,14056.334901869373,215440.17134120569,60,Business,1,Approved
43.52042396182868,68062.9766703954,Self-Employed,8.647078216138759,696.594168943281,8064.999792873996,170157.4416759885,48,Home,1,Approved
18.0,33426.71541330194,Student,3.496292367358702,637.4703292031495,13357.987499844718,183846.9347731607,48,Personal,0,Rejected
31.74398831971115,23406.084736092624,Unemployed,0.0,511.7884000330897,11723.543601321744,81921.29657632418,48,Business,0,Rejected
34.15637697328608,43260.17890830364,Self-Employed,4.935150983706691,706.62099629184,25703.945439077223,194670.80508736637,36,Home,1,Approved
35.86887943660937,57131.89579050154,Salaried,5.983518244228374,636.2882085923159,9369.870444830281,199961.6352667554,84,Business,1,Approved
